City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Samarinda,-0.5,117.15,88.59,63,96,1.41,ID,2022-03-12 01:40:41
Hamilton,39.1834,-84.5333,30.36,92,100,11.5,US,2022-03-12 01:42:17
Tasiilaq,65.6145,-37.6368,33.96,93,100,30.31,GL,2022-03-12 01:45:35
Jamestown,42.097,-79.2353,31.51,70,100,5.75,US,2022-03-12 01:44:09
Porto Walter,-8.2686,-72.7439,73.58,93,92,2.15,BR,2022-03-12 01:45:35
Saldanha,-33.0117,17.9442,68.0,81,0,3.78,ZA,2022-03-12 01:45:36
Cape Town,-33.9258,18.4232,73.11,88,0,2.3,ZA,2022-03-12 01:42:01
Carnarvon,-24.8667,113.6333,80.67,74,0,11.5,AU,2022-03-12 01:45:36
Castro,-24.7911,-50.0119,64.45,97,100,3.42,BR,2022-03-12 01:45:36
Kodiak,57.79,-152.4072,42.31,75,100,5.75,US,2022-03-12 01:45:36
Busselton,-33.65,115.3333,77.34,67,0,13.49,AU,2022-03-12 01:45:37
Faanui,-16.4833,-151.75,81.36,71,11,11.97,PF,2022-03-12 01:45:37
Broome,42.2506,-75.833,47.39,64,100,6.91,US,2022-03-12 01:45:37
Caravelas,-17.7125,-39.2481,76.42,86,13,4.38,BR,2022-03-12 01:45:37
Kieta,-6.2167,155.6333,85.84,57,8,5.59,PG,2022-03-12 01:45:38
Hermanus,-34.4187,19.2345,69.84,81,0,5.97,ZA,2022-03-12 01:45:38
Hilo,19.7297,-155.09,82.13,65,0,9.22,US,2022-03-12 01:45:38
Mbigou,-1.9005,11.906,67.23,98,100,1.23,GA,2022-03-12 01:45:39
Punta Arenas,-53.15,-70.9167,44.71,61,0,11.5,CL,2022-03-12 01:41:40
Saint George,37.1041,-113.5841,59.59,15,0,0.0,US,2022-03-12 01:45:31
Evensk,61.95,159.2333,20.68,76,100,12.06,RU,2022-03-12 01:45:39
Gat,31.61,34.7642,48.88,100,100,11.61,IL,2022-03-12 01:42:02
Vestmannaeyjar,63.4427,-20.2734,40.33,63,100,17.49,IS,2022-03-12 01:45:39
Mantua,45.1667,10.7833,42.04,78,100,3.0,IT,2022-03-12 01:45:32
Hobart,-42.8794,147.3294,72.05,48,20,11.5,AU,2022-03-12 01:42:34
Butaritari,3.0707,172.7902,81.84,77,16,18.9,KI,2022-03-12 01:45:40
Pangnirtung,66.1451,-65.7125,-25.22,97,97,4.74,CA,2022-03-12 01:45:40
Nikolskoye,59.7035,30.7861,31.87,97,100,3.98,RU,2022-03-12 01:45:40
Kula,38.5473,28.6498,21.7,76,41,2.73,TR,2022-03-12 01:42:42
Kaitangata,-46.2817,169.8464,63.79,58,62,12.37,NZ,2022-03-12 01:45:41
Ushuaia,-54.8,-68.3,44.26,61,0,12.66,AR,2022-03-12 01:42:58
Ejido Hermosillo,32.5121,-114.9238,70.23,7,0,8.19,MX,2022-03-12 01:45:41
Grindavik,63.8424,-22.4338,39.15,80,40,17.27,IS,2022-03-12 01:45:41
Dikson,73.5069,80.5464,-4.83,88,100,23.62,RU,2022-03-12 01:45:42
Khatanga,71.9667,102.5,-22.02,98,99,5.86,RU,2022-03-12 01:45:42
Hasaki,35.7333,140.8333,66.29,57,0,12.08,JP,2022-03-12 01:45:42
Ahtopol,42.1,27.95,28.09,65,92,15.23,BG,2022-03-12 01:45:42
Katsuura,35.1333,140.3,60.17,45,0,6.2,JP,2022-03-12 01:45:43
Payo,-3.7508,103.6372,81.75,77,54,1.92,ID,2022-03-12 01:45:43
Mehamn,71.0357,27.8492,30.72,78,100,9.66,NO,2022-03-12 01:45:43
Traralgon,-38.1833,146.5333,73.0,45,33,3.02,AU,2022-03-12 01:45:44
Urucara,-2.5364,-57.76,73.98,93,99,2.8,BR,2022-03-12 01:45:44
Santa Maria,-29.6842,-53.8069,65.5,88,75,4.61,BR,2022-03-12 01:45:15
Bluff,-46.6,168.3333,59.81,72,15,17.94,NZ,2022-03-12 01:45:44
Puerto Madryn,-42.7692,-65.0385,65.23,61,3,20.58,AR,2022-03-12 01:45:44
Ryotsu,38.0833,138.4333,51.57,42,17,4.81,JP,2022-03-12 01:45:45
Wabag,-5.4781,143.7021,65.14,83,86,3.67,PG,2022-03-12 01:45:45
Bengkulu,-3.8004,102.2655,81.91,71,94,3.71,ID,2022-03-12 01:45:45
Nova Mayachka,46.6,33.2271,22.59,83,100,13.44,UA,2022-03-12 01:45:45
Albany,42.6001,-73.9662,46.81,58,100,1.01,US,2022-03-12 01:41:59
Ribeira Grande,38.5167,-28.7,59.25,73,100,12.48,PT,2022-03-12 01:45:46
Yellowknife,62.456,-114.3525,0.55,82,100,10.0,CA,2022-03-12 01:45:46
Barrow,71.2906,-156.7887,-0.38,78,40,9.22,US,2022-03-12 01:45:46
Huarmey,-10.0681,-78.1522,73.42,79,100,7.07,PE,2022-03-12 01:45:47
Wuwei,37.9281,102.6414,51.87,26,2,5.41,CN,2022-03-12 01:45:47
Faya,18.3851,42.4509,57.72,84,26,2.71,SA,2022-03-12 01:45:47
Poum,-20.2333,164.0167,82.09,72,3,0.89,NC,2022-03-12 01:45:47
Lorengau,-2.0226,147.2712,84.79,69,30,5.3,PG,2022-03-12 01:45:48
Margate,51.3813,1.3862,48.31,81,100,10.0,GB,2022-03-12 01:45:48
Saint-Philippe,-21.3585,55.7679,74.79,82,41,10.09,RE,2022-03-12 01:45:48
Bangolo,7.0069,-7.475,75.18,84,87,2.3,CI,2022-03-12 01:45:48
Norman Wells,65.282,-126.8329,-7.56,64,75,16.11,CA,2022-03-12 01:45:49
Cap-Aux-Meules,47.3821,-61.8597,24.82,80,75,13.8,CA,2022-03-12 01:45:49
Paso Del Macho,18.9667,-96.7167,74.7,67,33,2.89,MX,2022-03-12 01:45:49
Wajima,37.4,136.9,52.48,76,20,4.61,JP,2022-03-12 01:45:50
Hithadhoo,-0.6,73.0833,81.95,65,8,4.97,MV,2022-03-12 01:45:50
Kashiwazaki,37.3667,138.55,50.88,68,97,4.0,JP,2022-03-12 01:45:50
Kangaatsiaq,68.3065,-53.4641,-11.65,100,100,4.92,GL,2022-03-12 01:45:50
Rikitea,-23.1203,-134.9692,78.78,67,1,1.99,PF,2022-03-12 01:45:51
Codrington,-38.2667,141.9667,68.86,40,0,7.85,AU,2022-03-12 01:45:51
Durango,24.8333,-104.8333,54.32,13,35,8.3,MX,2022-03-12 01:42:33
Namibe,-15.1961,12.1522,72.61,80,100,7.23,AO,2022-03-12 01:45:51
San Jose,37.3394,-121.895,70.88,25,0,11.5,US,2022-03-12 01:41:58
Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.34,96,98,2.46,BR,2022-03-12 01:45:52
Meulaboh,4.1363,96.1285,79.99,78,75,3.49,ID,2022-03-12 01:45:52
Nehe,48.4833,124.8333,23.25,79,100,9.64,CN,2022-03-12 01:45:52
Savyntsi,49.4026,37.0627,6.91,92,6,6.73,UA,2022-03-12 01:45:52
Narsaq,60.9167,-46.05,7.02,88,96,4.0,GL,2022-03-12 01:45:53
Kuusamo,65.9667,29.1833,26.64,86,0,1.14,FI,2022-03-12 01:45:53
Mataura,-46.1927,168.8643,59.49,58,57,10.27,NZ,2022-03-12 01:45:53
Xining,36.6167,101.7667,43.83,33,33,2.08,CN,2022-03-12 01:45:53
Viedma,-40.8135,-62.9967,60.19,69,0,13.89,AR,2022-03-12 01:45:54
Kidal,18.4411,1.4078,71.82,16,0,11.12,ML,2022-03-12 01:45:54
Mahebourg,-20.4081,57.7,77.29,94,40,9.22,MU,2022-03-12 01:45:54
Avarua,-21.2078,-159.775,84.25,74,87,5.75,CK,2022-03-12 01:45:47
Atuona,-9.8,-139.0333,78.8,75,99,16.67,PF,2022-03-12 01:45:54
Upernavik,72.7868,-56.1549,-17.5,100,100,7.94,GL,2022-03-12 01:45:55
Marsa Matruh,31.3525,27.2453,50.2,66,75,9.22,EG,2022-03-12 01:45:55
Ibra,22.6906,58.5334,70.03,48,60,2.42,OM,2022-03-12 01:45:55
Lebu,-37.6167,-73.65,58.37,91,0,17.54,CL,2022-03-12 01:45:56
Clyde River,70.4692,-68.5914,-25.37,75,0,2.3,CA,2022-03-12 01:45:56
Abalak,58.1286,68.5944,-22.38,100,100,3.22,RU,2022-03-12 01:45:56
Punta Cardon,11.6581,-70.215,78.46,81,100,24.32,VE,2022-03-12 01:45:57
Bambous Virieux,-20.3428,57.7575,77.25,94,40,9.22,MU,2022-03-12 01:45:57
Valkeala,60.9401,26.7979,28.8,93,0,4.61,FI,2022-03-12 01:45:57
Cidreira,-30.1811,-50.2056,69.66,69,100,11.83,BR,2022-03-12 01:45:57
Baruun-Urt,46.6806,113.2792,28.72,56,12,21.92,MN,2022-03-12 01:45:58
Manokwari,-0.8667,134.0833,82.74,73,91,3.74,ID,2022-03-12 01:45:58
Neuquen,-38.9516,-68.0591,69.69,43,0,4.61,AR,2022-03-12 01:45:58
Mizdah,31.4451,12.9801,48.4,41,3,1.83,LY,2022-03-12 01:45:59
Severo-Kurilsk,50.6789,156.125,31.93,97,100,1.99,RU,2022-03-12 01:45:59
Malindi,-3.2175,40.1191,76.05,83,13,7.09,KE,2022-03-12 01:45:59
Aklavik,68.2191,-135.0107,-2.38,87,100,15.21,CA,2022-03-12 01:45:59
Bethel,41.3712,-73.414,43.48,81,47,4.54,US,2022-03-12 01:46:00
La Libertad,-2.2333,-80.9,79.25,78,91,6.49,EC,2022-03-12 01:46:00
Ngong,-1.3618,36.6566,60.78,74,62,6.64,KE,2022-03-12 01:46:00
Price,39.5994,-110.8107,36.66,27,0,6.91,US,2022-03-12 01:44:38
Chokurdakh,70.6333,147.9167,-7.49,94,100,8.93,RU,2022-03-12 01:46:00
Tigil,57.8,158.6667,22.78,74,7,3.51,RU,2022-03-12 01:46:01
Impfondo,1.6381,18.0667,68.95,96,100,3.04,CG,2022-03-12 01:46:01
Fortuna,40.5982,-124.1573,55.09,77,36,1.01,US,2022-03-12 01:46:02
Tuatapere,-46.1333,167.6833,61.9,65,54,11.36,NZ,2022-03-12 01:46:02
Byron Bay,-28.65,153.6167,73.94,56,80,11.86,AU,2022-03-12 01:46:02
Tuktoyaktuk,69.4541,-133.0374,-4.0,77,100,13.8,CA,2022-03-12 01:46:03
Arraial Do Cabo,-22.9661,-42.0278,77.63,86,0,24.9,BR,2022-03-12 01:46:03
Ambon,-3.6954,128.1814,86.14,74,20,3.44,ID,2022-03-12 01:46:04
Port Lincoln,-34.7333,135.8667,71.96,56,0,12.8,AU,2022-03-12 01:46:04
Vaini,-21.2,-175.2,84.36,84,75,9.22,TO,2022-03-12 01:46:04
Urengoy,65.9667,78.3667,-17.72,100,100,8.21,RU,2022-03-12 01:46:05
Maceio,-9.6658,-35.7353,76.44,88,20,3.44,BR,2022-03-12 01:41:49
Puerto Ayora,-0.7393,-90.3518,77.56,95,41,1.21,EC,2022-03-12 01:46:05
Torbay,47.6666,-52.7314,31.57,65,75,17.27,CA,2022-03-12 01:46:06
Miri,4.4148,114.0089,75.34,100,40,3.44,MY,2022-03-12 01:46:06
Sobolevo,54.4299,31.8996,20.37,93,100,5.95,RU,2022-03-12 01:46:06
Brae,60.3964,-1.353,43.72,83,63,37.83,GB,2022-03-12 01:46:07
Salinopolis,-0.6136,-47.3561,73.71,93,100,1.68,BR,2022-03-12 01:46:07
Port Elizabeth,-33.918,25.5701,73.69,73,0,12.66,ZA,2022-03-12 01:46:07
Berezniki,59.4152,56.8124,-5.76,99,100,3.29,RU,2022-03-12 01:46:08
Alanya,36.5438,31.9998,42.93,46,99,8.52,TR,2022-03-12 01:46:08
Beeville,28.4008,-97.7483,47.98,53,0,18.41,US,2022-03-12 01:46:09
Port Macquarie,-31.4333,152.9167,72.9,66,48,6.42,AU,2022-03-12 01:46:09
Ust-Nera,64.5667,143.2,4.39,94,85,2.68,RU,2022-03-12 01:46:10
Gerede,40.8008,32.1969,7.97,97,100,3.49,TR,2022-03-12 01:46:10
Anzio,41.4853,12.6179,48.97,66,100,10.13,IT,2022-03-12 01:46:10
Broken Hill,-31.95,141.4333,76.71,23,7,16.11,AU,2022-03-12 01:46:11
Leningradskiy,69.3833,178.4167,10.09,76,0,1.19,RU,2022-03-12 01:46:11
Kapaa,22.0752,-159.319,80.92,70,20,11.5,US,2022-03-12 01:46:13
Souillac,-20.5167,57.5167,77.38,94,40,9.22,MU,2022-03-12 01:46:13
Aranos,-24.1333,19.1167,73.78,40,3,10.45,NA,2022-03-12 01:46:13
Seminole,28.7086,-81.2081,80.87,86,40,5.75,US,2022-03-12 01:46:14
Port Alfred,-33.5906,26.891,72.01,87,97,5.93,ZA,2022-03-12 01:46:14
Saint-Joseph,-21.3667,55.6167,73.78,81,25,10.56,RE,2022-03-12 01:46:14
Karaton,-6.3424,106.1045,81.5,77,98,4.97,ID,2022-03-12 01:46:15
Duminichi,53.9345,35.1099,16.03,95,98,4.29,RU,2022-03-12 01:46:15
Yar-Sale,66.8333,70.8333,-6.75,100,90,11.23,RU,2022-03-12 01:46:16
Bonavista,48.6499,-53.1147,27.16,62,100,21.14,CA,2022-03-12 01:46:17
Wamba,8.9333,8.6,79.45,33,11,2.95,NG,2022-03-12 01:46:18
Marzuq,14.4,46.4667,61.81,22,80,5.68,YE,2022-03-12 01:46:18
Altay,47.8667,88.1167,29.07,80,100,3.22,CN,2022-03-12 01:46:19
Mar Del Plata,-38.0023,-57.5575,60.87,69,75,8.01,AR,2022-03-12 01:46:19
Guntur,16.3,80.45,73.29,67,0,1.9,IN,2022-03-12 01:46:19
Marandahalli,12.4,78.0,70.47,47,0,2.3,IN,2022-03-12 01:46:20
Kavieng,-2.5744,150.7967,85.35,63,86,6.85,PG,2022-03-12 01:46:20
Grand Gaube,-20.0064,57.6608,77.4,89,57,1.99,MU,2022-03-12 01:46:20
Rawson,-43.3002,-65.1023,65.53,51,4,18.43,AR,2022-03-12 01:46:21
Zambezi,-13.5432,23.1047,63.59,97,72,4.94,ZM,2022-03-12 01:46:21
Port Augusta,-32.5,137.7667,85.86,15,0,3.74,AU,2022-03-12 01:46:21
Fort Morgan,40.2503,-103.8,23.65,68,20,9.22,US,2022-03-12 01:46:22
Saskylakh,71.9167,114.0833,-14.26,93,100,3.31,RU,2022-03-12 01:46:22
Thompson,55.7435,-97.8558,-3.84,59,20,0.0,CA,2022-03-12 01:46:23
Nome,64.5011,-165.4064,30.27,37,0,21.85,US,2022-03-12 01:46:23
Sinjar,36.3209,41.8754,37.58,73,78,2.73,IQ,2022-03-12 01:46:23
Laguna,38.421,-121.4238,71.89,22,0,4.61,US,2022-03-12 01:42:29
Samarai,-10.6167,150.6667,85.6,71,85,13.09,PG,2022-03-12 01:46:24
Tiksi,71.6872,128.8694,-10.53,89,100,9.01,RU,2022-03-12 01:46:24
Sinjai,-5.1241,120.253,86.34,68,25,2.95,ID,2022-03-12 01:46:25
Airai,-8.9266,125.4092,73.09,65,100,3.13,TL,2022-03-12 01:46:25
Iqaluit,63.7506,-68.5145,-20.47,76,20,3.44,CA,2022-03-12 01:46:25
Pacific Grove,36.6177,-121.9166,64.51,73,0,8.05,US,2022-03-12 01:46:26
Santa Rosalia,27.3167,-112.2833,57.4,38,1,7.56,MX,2022-03-12 01:46:26
Wiarton,44.7407,-81.1332,25.25,68,75,9.22,CA,2022-03-12 01:41:52
Yichang,30.7144,111.2847,74.35,61,75,0.72,CN,2022-03-12 01:46:27
Ponta Do Sol,32.6667,-17.1,62.71,71,70,1.25,PT,2022-03-12 01:46:27
Kasumigaura,36.152,140.2361,66.24,33,20,2.3,JP,2022-03-12 01:46:27
Honningsvag,70.9821,25.9704,35.8,86,100,7.0,NO,2022-03-12 01:46:27
Bredasdorp,-34.5322,20.0403,65.52,88,0,3.44,ZA,2022-03-12 01:46:28
Garden City,42.3256,-83.331,30.45,59,100,12.66,US,2022-03-12 01:43:28
Severodvinsk,64.5635,39.8302,28.51,98,89,5.23,RU,2022-03-12 01:46:28
Pauini,-7.7136,-66.9764,75.22,93,89,2.37,BR,2022-03-12 01:46:28
Adrar,20.5022,-10.0711,64.44,11,0,11.16,MR,2022-03-12 01:46:29
Provideniya,64.3833,-173.3,26.26,57,0,11.83,RU,2022-03-12 01:46:29
Sambava,-14.2667,50.1667,75.04,91,100,7.27,MG,2022-03-12 01:46:29
Xam Nua,20.4197,104.0439,74.59,67,34,1.12,LA,2022-03-12 01:46:30
Georgetown,5.4112,100.3354,82.33,82,20,5.01,MY,2022-03-12 01:41:57
Kununurra,-15.7667,128.7333,82.38,78,86,8.05,AU,2022-03-12 01:46:30
Qaanaaq,77.484,-69.3632,-13.88,79,18,5.3,GL,2022-03-12 01:46:30
Olafsvik,64.8945,-23.7142,38.89,64,100,18.86,IS,2022-03-12 01:46:31
Isangel,-19.55,169.2667,82.87,74,28,1.79,VU,2022-03-12 01:46:32
Ancud,-41.8697,-73.8203,54.01,92,0,3.65,CL,2022-03-12 01:46:32
Victoria,22.2855,114.1577,77.05,75,3,4.0,HK,2022-03-12 01:46:32
Los Llanos De Aridane,28.6585,-17.9182,58.75,84,0,5.75,ES,2022-03-12 01:46:33
Massaguet,12.4755,15.4365,76.15,17,66,14.05,TD,2022-03-12 01:46:33
Tecoanapa,16.5167,-98.75,78.04,71,0,8.16,MX,2022-03-12 01:46:33
Saint-Pierre,-21.3393,55.4781,75.9,75,0,6.91,RE,2022-03-12 01:46:34
Vila Velha,-20.3297,-40.2925,78.94,85,20,5.99,BR,2022-03-12 01:46:34
Scarborough,54.2797,-0.4044,47.91,89,36,3.0,GB,2022-03-12 01:42:04
Longyearbyen,78.2186,15.6401,6.64,85,0,6.91,SJ,2022-03-12 01:46:35
At-Bashi,41.1702,75.8106,34.9,84,100,0.85,KG,2022-03-12 01:46:35
Mehendiganj,22.8167,90.5333,76.14,35,100,4.61,BD,2022-03-12 01:46:35
Casas Grandes,30.3667,-107.95,49.44,42,0,7.99,MX,2022-03-12 01:43:16
Harper,4.375,-7.7169,79.48,88,69,6.85,LR,2022-03-12 01:46:36
Nouadhibou,20.931,-17.0347,64.38,72,0,20.71,MR,2022-03-12 01:46:36
Mogadishu,2.0371,45.3438,76.86,80,100,13.91,SO,2022-03-12 01:46:36
New Norfolk,-42.7826,147.0587,72.72,42,97,1.99,AU,2022-03-12 01:46:36
Raudeberg,61.9875,5.1352,45.27,54,10,6.85,NO,2022-03-12 01:46:37
Chernyshevskiy,63.0128,112.4714,-9.04,95,100,1.01,RU,2022-03-12 01:46:38
East London,-33.0153,27.9116,72.7,86,32,15.46,ZA,2022-03-12 01:46:38
Bathsheba,13.2167,-59.5167,77.61,73,20,20.71,BB,2022-03-12 01:46:38
Iaciara,-14.0958,-46.6317,72.19,79,56,0.87,BR,2022-03-12 01:46:39
Tarabuco,-19.1667,-64.9167,44.6,87,100,3.56,BO,2022-03-12 01:46:39
Farah,32.5,62.5,67.32,42,100,4.63,AF,2022-03-12 01:46:39
Dalvik,65.9702,-18.5286,37.33,75,100,4.97,IS,2022-03-12 01:46:40
Khandbari,27.3747,87.2039,69.78,26,0,1.68,NP,2022-03-12 01:46:40
Geraldton,-28.7667,114.6,79.21,65,7,11.5,AU,2022-03-12 01:46:40
Makakilo City,21.3469,-158.0858,86.32,49,20,20.71,US,2022-03-12 01:46:40
San Patricio,28.017,-97.5169,49.86,64,87,23.06,US,2022-03-12 01:46:41
Kruisfontein,-34.0033,24.7314,69.4,85,100,5.41,ZA,2022-03-12 01:46:41
Caconda,-13.7333,15.0667,61.72,96,100,2.68,AO,2022-03-12 01:46:42
Husavik,66.0449,-17.3389,35.58,93,100,8.95,IS,2022-03-12 01:46:42
Bubaque,11.2833,-15.8333,75.63,69,31,5.23,GW,2022-03-12 01:46:42
Klaksvik,62.2266,-6.589,45.52,94,100,42.12,FO,2022-03-12 01:46:43
Pevek,69.7008,170.3133,5.5,76,0,1.19,RU,2022-03-12 01:46:43
Ust-Kulom,61.6864,53.6902,13.05,94,100,6.96,RU,2022-03-12 01:46:43
Chapais,49.7834,-74.8492,13.78,92,100,6.2,CA,2022-03-12 01:46:44
Sitka,57.0531,-135.33,42.69,81,100,8.05,US,2022-03-12 01:46:44
Bambanglipuro,-7.95,110.2833,79.74,80,100,2.98,ID,2022-03-12 01:46:44
Tortoli,39.9256,9.6572,51.62,82,40,9.22,IT,2022-03-12 01:46:45
Monrovia,6.3005,-10.7969,79.25,91,100,4.36,LR,2022-03-12 01:46:45
Magadan,59.5667,150.8,29.53,70,66,5.21,RU,2022-03-12 01:46:45
Leh,34.1667,77.5833,4.66,65,1,2.59,IN,2022-03-12 01:46:46
Obigarm,38.7173,69.7088,43.95,98,100,6.69,TJ,2022-03-12 01:46:46
Piacabucu,-10.4056,-36.4344,78.51,80,100,3.69,BR,2022-03-12 01:46:46
Narathiwat,6.3333,101.75,85.51,71,15,0.85,TH,2022-03-12 01:46:47
Rosarito,32.3333,-117.0333,67.48,43,0,7.25,MX,2022-03-12 01:46:47
Padrauna,26.9025,83.9819,66.49,44,0,6.8,IN,2022-03-12 01:46:47
Volkhov,59.9258,32.3382,30.36,98,100,4.03,RU,2022-03-12 01:46:47
Ulaanbaatar,47.9077,106.8832,10.53,72,0,11.18,MN,2022-03-12 01:45:19
Deputatskiy,69.3,139.9,-3.33,93,73,3.58,RU,2022-03-12 01:46:48
Domoni,-12.2569,44.5319,79.11,84,100,5.17,KM,2022-03-12 01:46:48
Gao,16.6362,1.637,74.44,20,10,14.18,ML,2022-03-12 01:42:19
Aljezur,37.3191,-8.8033,52.18,83,100,2.39,PT,2022-03-12 01:46:48
Havre,49.5833,0.3333,47.97,81,40,14.97,FR,2022-03-12 01:46:49
Balaipungut,1.05,101.2833,81.19,80,51,3.27,ID,2022-03-12 01:46:49
Jerome,42.7241,-114.5186,45.43,36,75,11.5,US,2022-03-12 01:46:49
Gerash,27.6652,54.1371,60.94,29,90,2.26,IR,2022-03-12 01:46:50
Portland,45.5234,-122.6762,58.05,52,83,1.01,US,2022-03-12 01:43:23
Palmer,42.1584,-72.3287,42.4,64,95,3.76,US,2022-03-12 01:46:50
Nyurba,63.2842,118.3319,-0.72,94,100,2.17,RU,2022-03-12 01:46:50
Saint Anthony,45.0205,-93.218,7.93,60,0,18.41,US,2022-03-12 01:46:02
Tilichiki,60.4667,166.1,14.68,77,29,6.44,RU,2022-03-12 01:46:51
Sioux Lookout,50.1001,-91.917,-2.13,65,40,10.36,CA,2022-03-12 01:46:51
Newport,51.5877,-2.9984,48.25,86,100,1.99,GB,2022-03-12 01:45:53
Svetlogorsk,52.6333,29.7333,26.67,62,100,6.69,BY,2022-03-12 01:46:51
Cherskiy,68.75,161.3,5.85,76,51,2.15,RU,2022-03-12 01:46:51
Xucheng,20.35,110.1288,72.09,76,34,10.87,CN,2022-03-12 01:46:52
Paita,-5.0892,-81.1144,75.96,79,41,7.74,PE,2022-03-12 01:46:52
Constantine,36.365,6.6147,49.41,76,40,2.3,DZ,2022-03-12 01:46:52
Arucas,28.1198,-15.5233,59.77,84,6,7.36,ES,2022-03-12 01:46:53
Tommot,58.9564,126.2925,10.99,89,100,2.08,RU,2022-03-12 01:46:53
Bardiyah,31.7561,25.0865,50.49,62,62,5.48,LY,2022-03-12 01:46:53
Paamiut,61.994,-49.6678,7.38,88,100,24.16,GL,2022-03-12 01:46:53
Nhulunbuy,-12.2333,136.7667,88.41,58,100,6.91,AU,2022-03-12 01:46:54
Kuryk,43.2,51.65,42.53,86,100,7.4,KZ,2022-03-12 01:46:54
Morrinhos,-17.7311,-49.0994,73.78,70,100,2.66,BR,2022-03-12 01:45:18
Omsukchan,62.5333,155.8,12.24,91,88,5.79,RU,2022-03-12 01:46:54
Kenitra,34.261,-6.5802,57.96,88,97,4.85,MA,2022-03-12 01:46:55
Natitingou,10.3042,1.3796,81.14,16,18,3.38,BJ,2022-03-12 01:46:55
Lake Havasu City,34.4839,-114.3224,66.81,8,0,17.27,US,2022-03-12 01:46:55
Cururupu,-1.8283,-44.8683,72.86,99,100,2.68,BR,2022-03-12 01:46:56
The Pas,53.8251,-101.2541,1.42,55,75,10.36,CA,2022-03-12 01:46:56
Shakiso,5.75,38.9167,54.01,62,69,3.8,ET,2022-03-12 01:46:56
Southbridge,42.0751,-72.0334,41.11,73,90,3.0,US,2022-03-12 01:46:56
Peniche,39.3558,-9.3811,50.11,92,100,7.9,PT,2022-03-12 01:46:57
Caiaponia,-16.9567,-51.8103,71.69,85,53,1.32,BR,2022-03-12 01:46:57
Puerto Baquerizo Moreno,-0.9,-89.6,79.86,76,50,2.26,EC,2022-03-12 01:46:57
Skoghall,59.3232,13.4655,21.76,93,49,4.61,SE,2022-03-12 01:46:58
Walvis Bay,-22.9575,14.5053,65.08,90,19,4.68,NA,2022-03-12 01:46:58
Coquimbo,-29.9533,-71.3436,60.53,88,100,4.61,CL,2022-03-12 01:46:31
Ponta Delgada,37.7333,-25.6667,61.52,94,75,9.22,PT,2022-03-12 01:46:48
Chuy,-33.6971,-53.4616,58.71,76,0,7.81,UY,2022-03-12 01:46:59
Hoquiam,46.9809,-123.8893,48.43,72,100,11.5,US,2022-03-12 01:46:59
Disraeli,45.9001,-71.3491,32.22,93,100,4.85,CA,2022-03-12 01:46:59
Kot Kapura,30.5833,74.9,60.75,44,0,1.45,IN,2022-03-12 01:47:00
Maraa,-1.8333,-65.3667,73.87,98,100,2.73,BR,2022-03-12 01:47:00
Fayaoue,-20.65,166.5333,81.91,76,21,10.0,NC,2022-03-12 01:47:00
Mayo,38.8876,-76.5119,50.41,84,0,9.22,US,2022-03-12 01:47:00
Kuala Terengganu,5.3302,103.1408,78.75,94,20,2.3,MY,2022-03-12 01:45:52
